Depth,GR,Caliper,Ring resistivity,Porosity
80.3148,102.8788864,22.026118,1.1862,0.481604938
80.4672,108.8973352,21.835872,1.2115,0.483271605
80.6196,106.1014902,21.906992,1.2541,0.478993827
80.772,105.7384118,21.946362,1.276,0.47212963
80.9244,108.9652946,21.988526,1.2796,0.466475309
81.0768,106.7605919,21.879306,1.2633,0.466697531
81.2292,108.2498314,21.9329,1.2227,0.462246914
81.3816,104.8769413,21.916898,1.2224,0.465882716
81.534,106.1346781,21.900134,1.2708,0.470006173
81.6864,109.3535725,21.682456,1.2757,0.466790123
81.8388,115.921348,21.688044,1.2707,0.471382716
81.9912,112.317974,21.64842,1.2791,0.46308642
82.1436,114.6094409,21.857208,1.2793,0.469796296
82.296,109.9782209,22.068536,1.2936,0.464209877
82.4484,116.3168377,22.03704,1.2994,0.468006173
82.6008,111.4450058,21.89988,1.2818,0.461216049
82.7532,111.5339941,21.72843,1.238,0.463765432
