,DEPTH,GR,NPHI,DENSITY,PEF,LITH,VSHALE,DPHI,EPOR0
1919,7258,13.873,0.03393,2.741,0,1,0.069035,0.082249,6.2913
1920,7258.5,13.442,0.03194,2.733,0,1,0.066374,0.086982,6.5521
1921,7259,12.352,0.029552,2.732,0,1,0.059724,0.087574,6.5355
1922,7259.5,11.21,0.027663,2.731,0,1,0.052876,0.088166,6.5339
1923,7260,10.415,0.02528,2.731,0,1,0.04818,0.088166,6.4855
1924,7260.5,9.649,0.022788,2.735,0,1,0.04371,0.085799,6.2772
1925,7261,8.883,0.022366,2.739,0,1,0.039292,0.083432,6.1078
1926,7261.5,8.122,0.021998,2.734,0,1,0.034956,0.086391,6.3037
1927,7262,7.355,0.021989,2.701,0,1,0.030636,0.10592,7.6492
1928,7262.5,6.928,0.02199,2.609,0,1,0.028254,0.16036,11.445
1929,7263,5.805,0.02199,2.55,0,1,0.022062,0.19527,13.895
1930,7263.5,5.109,0.02199,2.571,0,1,0.018279,0.18284,13.022
1931,7264,4.931,0.02199,2.605,0,1,0.017318,0.16272,11.611
1932,7264.5,4.602,0.02199,2.63,0,1,0.015549,0.14793,10.575
1933,7265,3.861,0.022269,2.594,0,1,0.011597,0.16923,12.07
1934,7265.5,3.104,0.022709,2.577,0,1,0.0076064,0.17929,12.779
1935,7266,3.087,0.023259,2.66,0,1,0.0075173,0.13018,9.3507
1936,7266.5,3.868,0.023582,2.739,0,1,0.011634,0.083432,6.1307
1937,7267,5.045,0.022786,2.765,0,1,0.017933,0.068047,5.0743
1938,7267.5,6.243,0.02,2.736,0,1,0.024464,0.085207,6.1888
1939,7268,7.254,0.01801,2.727,0,1,0.030071,0.090533,6.5271
1940,7268.5,8.24,0.018001,2.755,0,1,0.035625,0.073964,5.3827
1941,7269,8.36,0.018008,2.762,0,1,0.036306,0.069822,5.0988
1942,7269.5,7.948,0.018009,2.691,0,1,0.033971,0.11183,8.0098
1943,7270,7.528,0.017998,2.665,0,1,0.031606,0.12722,9.0853
1944,7270.5,7.209,0.018046,2.673,0,1,0.02982,0.12249,8.7545
1945,7271,7.293,0.018779,2.698,0,1,0.030289,0.10769,7.7299
1946,7271.5,7.37,0.018806,2.719,0,1,0.03072,0.095266,6.8663
1947,7272,7.427,0.018806,2.724,0,1,0.031039,0.092308,6.6612
1948,7272.5,7.19,0.018806,2.708,0,1,0.029714,0.10178,7.3184
1949,7273,6.95,0.018806,2.657,0,1,0.028376,0.13195,9.4247
1950,7273.5,6.713,0.018806,2.613,0,1,0.02706,0.15799,11.25
1951,7274,6.482,0.01801,2.59,0,1,0.025782,0.1716,12.2
1952,7274.5,6.196,0.016816,2.61,0,1,0.024206,0.15976,11.359
1953,7275,4.957,0.016816,2.656,0,1,0.017458,0.13254,9.4474
1954,7275.5,3.714,0.017009,2.719,0,1,0.010818,0.095266,6.8429
1955,7276,3.258,0.016463,2.748,0,1,0.0084144,0.078107,5.6443
1956,7276.5,3.805,0.015622,2.74,0,1,0.0113,0.08284,5.9609
1957,7277,4.671,0.013234,2.731,0,1,0.015919,0.088166,6.3041
1958,7277.5,5.109,0.01353,2.728,0,1,0.018279,0.089941,6.4313
1959,7278,5.197,0.013292,2.708,0,1,0.018755,0.10178,7.2577
1960,7278.5,5.273,0.013436,2.658,0,1,0.019167,0.13136,9.3371
1961,7279,5.64,0.013579,2.592,0,1,0.021162,0.17041,12.088
1962,7279.5,6.7,0.014472,2.572,0,1,0.026988,0.18225,12.927
1963,7280,7.469,0.015297,2.613,0,1,0.031275,0.15799,11.224
1964,7280.5,7.953,0.015464,2.688,0,1,0.033999,0.11361,8.1075
1965,7281,8.43,0.015618,2.748,0,1,0.036705,0.078107,5.6323
1966,7281.5,8.906,0.014703,2.749,0,1,0.039424,0.077515,5.5788
1967,7282,9.382,0.013821,2.751,0,1,0.042164,0.076331,5.4852
1968,7282.5,9.86,0.012937,2.763,0,1,0.044936,0.069231,4.9801
1969,7283,10.329,0.013243,2.782,0,1,0.047675,0.057988,4.206
1970,7283.5,11.201,0.0137,2.789,0,1,0.052823,0.053846,3.9288
1971,7284,12.252,0.013883,2.776,0,1,0.059119,0.061538,4.4608
1972,7284.5,14.493,0.013632,2.761,0,1,0.072894,0.070414,5.0715
1973,7285,16.213,0.013632,2.748,0,1,0.083796,0.078107,5.6064
1974,7285.5,19.148,0.013234,2.742,0,1,0.10308,0.081657,5.8493
