,starttime,resolution,speed,volume,occupancy
862,2011-03-02T11:50:00,0:05:00,61.39,97,9.46
864,2011-03-02T11:55:00,0:05:00,60.81,74,9.45
866,2011-03-02T12:00:00,0:05:00,61.46,59,11
868,2011-03-02T12:05:00,0:05:00,62.81,89,10.27
870,2011-03-02T12:10:00,0:05:00,63.03,73,9.44
872,2011-03-02T12:15:00,0:05:00,61.32,111,9.73
874,2011-03-02T12:20:00,0:05:00,61.3,143,13.13
876,2011-03-02T12:25:00,0:05:00,61.99,145,12.33
878,2011-03-02T12:30:00,0:05:00,62.67,95,9
880,2011-03-02T12:35:00,0:05:00,63.05,103,11.18
882,2011-03-02T12:40:00,0:05:00,62.96,99,9.47
884,2011-03-02T12:45:00,0:05:00,60.97,131,12.67
886,2011-03-02T12:50:00,0:05:00,62.96,108,8.87
888,2011-03-02T12:55:00,0:05:00,61.14,72,9.8
890,2011-03-02T13:00:00,0:05:00,60.91,141,12.64
892,2011-03-02T13:05:00,0:05:00,61.5,106,10.13
894,2011-03-02T13:10:00,0:05:00,63.76,78,8.08
896,2011-03-02T13:15:00,0:05:00,62.55,96,11.45
898,2011-03-02T13:20:00,0:05:00,61.61,121,9.33
900,2011-03-02T13:25:00,0:05:00,60.52,126,9.67
902,2011-03-02T13:30:00,0:05:00,62.59,91,12.44
904,2011-03-02T13:35:00,0:05:00,60.07,151,12.73
906,2011-03-02T13:40:00,0:05:00,62.3,113,9.53
908,2011-03-02T13:45:00,0:05:00,60.43,120,10.13
910,2011-03-02T13:50:00,0:05:00,62.55,106,8.2
912,2011-03-02T13:55:00,0:05:00,58.66,142,12.33
914,2011-03-02T14:00:00,0:05:00,62.29,113,10.4
916,2011-03-02T14:05:00,0:05:00,58.41,51,7.78
918,2011-03-02T14:10:00,0:05:00,59.29,115,9.13
920,2011-03-02T14:15:00,0:05:00,63.24,96,7.13
