AC,CAL,GR,K,RD,SP,Core Lithology
0.188968114,0.109691396,0.118869428,0.306221059,0.031651143,0.422815162,2
0.164105046,0.096162349,0.109426441,0.348701429,0.0321932,0.393366611,2
0.230605582,0.054514104,0.104924618,0.215421784,0.004911019,0.344114797,7
0.239922947,0.03417632,0.035590458,0.096839138,0.027108314,0.312818317,5
0.210858423,0.084357591,0.157238578,0.527481377,0.011195078,0.44896223,2
0.260600271,0.21469626,0.286690238,0.862693779,0.019363551,0.201103123,2
0.290528969,0.035502697,0.069621349,0.057580028,0.078593838,-0.050874386,2
0.180169252,0.115969582,0.050655494,0.206764647,0.017294677,0.135405868,3
0.162766362,0.063798744,0.208886869,0.509563117,0.032154847,0.126470456,7
0.230809841,0.302900345,0.085488991,0.306221059,0.008127928,0.357822148,2
0.238395716,0.106463878,0.020622419,0.082544796,0.022537359,0.071894578,3
0.197663274,0.107922893,0.121823096,0.308234347,0.012118474,0.37294925,3
0.183497107,0.023609515,0.142936208,0.239782565,0.020847267,0.373676027,3
